Rank,Symbol,Return %,Trades,Win Rate %,Max DD %,Sharpe Ratio
1,WIPRO.NS,+15.26,6,66.7,3.50,8.25
2,AXISBANK.NS,+13.77,8,50.0,1.46,9.59
3,TITAN.NS,+11.42,7,57.1,0.92,9.92
4,ONGC.NS,+9.38,9,33.3,3.87,5.69
5,INFY.NS,+7.60,7,42.9,3.74,5.61
6,ICICIBANK.NS,+6.55,8,50.0,2.79,6.72
7,BHARTIARTL.NS,+4.59,8,50.0,2.92,5.47
8,ULTRACEMCO.NS,+4.55,12,33.3,2.84,4.16
9,KOTAKBANK.NS,+4.46,8,50.0,2.79,4.93
10,EICHERMOT.NS,+3.33,12,25.0,5.86,2.66
11,HINDUNILVR.NS,+3.33,8,62.5,1.48,4.74
12,CIPLA.NS,+3.24,8,37.5,4.36,3.33
13,HINDALCO.NS,+2.28,9,44.4,6.22,1.65
14,APOLLOHOSP.NS,+2.22,8,62.5,2.10,4.09
15,TECHM.NS,+1.07,9,44.4,2.90,1.87
16,ITC.NS,+0.81,8,25.0,5.07,0.89
17,BPCL.NS,-0.63,11,45.5,10.54,-0.12
18,M&M.NS,-0.95,12,33.3,4.81,-0.87
19,DRREDDY.NS,-1.05,12,16.7,6.06,-0.84
20,MARUTI.NS,-1.21,8,37.5,2.42,-1.81
21,JIOFIN.NS,-2.05,8,50.0,7.61,-2.25
22,VEDL.NS,-2.85,10,30.0,13.64,-1.00
23,RELIANCE.NS,-3.04,11,27.3,6.02,-2.19
24,HCLTECH.NS,-3.25,8,25.0,5.43,-3.91
25,SBIN.NS,-3.29,12,33.3,4.35,-5.12
26,HDFCBANK.NS,-3.35,8,37.5,4.09,-4.34
27,BAJFINANCE.NS,-4.02,11,36.4,9.85,-2.49
28,BAJAJFINSV.NS,-4.07,9,44.4,10.54,-2.86
29,NTPC.NS,-4.42,11,36.4,8.39,-4.00
30,SUNPHARMA.NS,-4.58,11,45.5,7.10,-6.31
31,ADANIENT.NS,-4.86,13,15.4,9.54,-4.15
32,NESTLEIND.NS,-4.97,13,38.5,6.00,-10.64
33,JSWSTEEL.NS,-6.08,10,20.0,8.94,-8.35
34,TATASTEEL.NS,-7.51,15,33.3,10.05,-7.00
35,BAJAJ-AUTO.NS,-8.59,9,33.3,8.59,-12.22
36,TCS.NS,-8.79,9,22.2,9.85,-8.86
37,GRASIM.NS,-10.16,12,25.0,10.16,-8.76
38,INDUSINDBK.NS,-10.17,11,27.3,12.32,-10.75
39,LT.NS,-10.38,15,26.7,11.18,-9.46
40,DIVISLAB.NS,-11.36,14,21.4,11.82,-16.93
41,COALINDIA.NS,-11.44,11,36.4,17.75,-7.52
42,ADANIPORTS.NS,-11.73,12,16.7,11.73,-17.75
43,TATACONSUM.NS,-12.10,13,23.1,12.38,-12.88
44,HEROMOTOCO.NS,-12.93,15,13.3,12.97,-17.28
45,POWERGRID.NS,-13.52,15,20.0,13.52,-15.62
46,BRITANNIA.NS,-14.22,15,6.7,14.22,-16.79
47,ASIANPAINT.NS,-16.04,15,13.3,17.05,-20.04
